Prov,Provinsi,Tanggal,Max. Tanggal,Running Sum of divaksin2 (ribu),divaksin2 (ribu)
Banten,Banten,6/26/2021,6/26/2021,438.211,2.596
Bengkulu,Bengkulu,6/26/2021,6/26/2021,57.36,0.367
Gorontalo,Gorontalo,6/26/2021,6/26/2021,56.23,1.178
Jakarta Raya,Jakarta Raya,6/26/2021,6/26/2021,"1,921.568",4.038
Jambi,Jambi,6/26/2021,6/26/2021,129.138,1.165
Jawa Barat,Jawa Barat,6/26/2021,6/26/2021,"1,873.708",10.984
Jawa Tengah,Jawa Tengah,6/26/2021,6/26/2021,"1,705.298",14.471
Jawa Timur,Jawa Timur,6/26/2021,6/26/2021,"1,979.702",36.221
Kalimantan Barat,Kalimantan Barat,6/26/2021,6/26/2021,143.885,0.629
Kalimantan Selatan,Kalimantan Selatan,6/26/2021,6/26/2021,176.862,2.664
Kalimantan Tengah,Kalimantan Tengah,6/26/2021,6/26/2021,136.204,6.174
Kalimantan Timur,Kalimantan Timur,6/26/2021,6/26/2021,217.137,1.939
Kalimantan Utara,Kalimantan Utara,6/26/2021,6/26/2021,27.982,0.232
Lampung,Lampung,6/26/2021,6/26/2021,202.706,0.66
Maluku,Maluku,6/26/2021,6/26/2021,56.47,0.616
Maluku Utara,Maluku Utara,6/26/2021,6/26/2021,31.252,0.479
Nusa Tenggara Barat,Nusa Tenggara Barat,6/26/2021,6/26/2021,179.495,1.46
Nusa Tenggara Timur,Nusa Tenggara Timur,6/26/2021,6/26/2021,166.773,2.141
Papua,Papua,6/26/2021,6/26/2021,122.352,1.66
Papua Barat,Papua Barat,6/26/2021,6/26/2021,40.808,0.616
Riau,Kepulauan Riau,6/26/2021,6/26/2021,117.69,2.055
Riau,Riau,6/26/2021,6/26/2021,307.073,18.035
Sulawesi Barat,Sulawesi Barat,6/26/2021,6/26/2021,54.332,1.348
Sulawesi Selatan,Sulawesi Selatan,6/26/2021,6/26/2021,429.428,4.812
Sulawesi Tengah,Sulawesi Tengah,6/26/2021,6/26/2021,93.666,1.574
Sulawesi Tenggara,Sulawesi Tenggara,6/26/2021,6/26/2021,87.32,2.638
Sulawesi Utara,Sulawesi Utara,6/26/2021,6/26/2021,133.096,0.471
Sumatera Barat,Sumatera Barat,6/26/2021,6/26/2021,149.653,1.342
Sumatera Selatan,Sumatera Selatan,6/26/2021,6/26/2021,318.773,2.054
Sumatera Utara,Sumatera Utara,6/26/2021,6/26/2021,532.217,4.58
Yogyakarta,Yogyakarta,6/26/2021,6/26/2021,389.634,2.216
Aceh,Aceh,6/27/2021,6/27/2021,123.739,0.493
Bali,Bali,6/27/2021,6/27/2021,740.858,0.295
Bangka Belitung,Bangka Belitung,6/27/2021,6/27/2021,70.85,0.01
Banten,Banten,6/27/2021,6/27/2021,438.484,0.273
Bengkulu,Bengkulu,6/27/2021,6/27/2021,57.37,0.01
Gorontalo,Gorontalo,6/27/2021,6/27/2021,56.253,0.023
Jakarta Raya,Jakarta Raya,6/27/2021,6/27/2021,"1,923.546",1.978
Jambi,Jambi,6/27/2021,6/27/2021,129.213,0.075
Jawa Barat,Jawa Barat,6/27/2021,6/27/2021,"1,874.77",1.062
Jawa Tengah,Jawa Tengah,6/27/2021,6/27/2021,"1,705.316",0.018
Jawa Timur,Jawa Timur,6/27/2021,6/27/2021,"1,984.242",4.54
Kalimantan Barat,Kalimantan Barat,6/27/2021,6/27/2021,143.888,0.003
Kalimantan Selatan,Kalimantan Selatan,6/27/2021,6/27/2021,176.884,0.022
Kalimantan Tengah,Kalimantan Tengah,6/27/2021,6/27/2021,137.218,1.014
Kalimantan Timur,Kalimantan Timur,6/27/2021,6/27/2021,217.41,0.273
Kalimantan Utara,Kalimantan Utara,6/27/2021,6/27/2021,28.007,0.025
Lampung,Lampung,6/27/2021,6/27/2021,202.722,0.016
Maluku,Maluku,6/27/2021,6/27/2021,56.499,0.029
Maluku Utara,Maluku Utara,6/27/2021,6/27/2021,31.396,0.144
Nusa Tenggara Barat,Nusa Tenggara Barat,6/27/2021,6/27/2021,179.627,0.132
Nusa Tenggara Timur,Nusa Tenggara Timur,6/27/2021,6/27/2021,166.812,0.039
Papua,Papua,6/27/2021,6/27/2021,122.497,0.145
Papua Barat,Papua Barat,6/27/2021,6/27/2021,40.898,0.09
Riau,Kepulauan Riau,6/27/2021,6/27/2021,121.428,3.738
Riau,Riau,6/27/2021,6/27/2021,308.418,1.345
Sulawesi Barat,Sulawesi Barat,6/27/2021,6/27/2021,54.408,0.076
Sulawesi Selatan,Sulawesi Selatan,6/27/2021,6/27/2021,429.672,0.244
Sulawesi Tengah,Sulawesi Tengah,6/27/2021,6/27/2021,93.781,0.115
Sulawesi Tenggara,Sulawesi Tenggara,6/27/2021,6/27/2021,87.452,0.132
Sulawesi Utara,Sulawesi Utara,6/27/2021,6/27/2021,133.107,0.011
Sumatera Barat,Sumatera Barat,6/27/2021,6/27/2021,149.723,0.07
Sumatera Selatan,Sumatera Selatan,6/27/2021,6/27/2021,318.801,0.028
Sumatera Utara,Sumatera Utara,6/27/2021,6/27/2021,532.306,0.089
Yogyakarta,Yogyakarta,6/27/2021,6/27/2021,389.82,0.186
Aceh,Aceh,6/28/2021,6/28/2021,126.331,2.592
Bali,Bali,6/28/2021,6/28/2021,744.358,3.5
Bangka Belitung,Bangka Belitung,6/28/2021,6/28/2021,72.436,1.586
Banten,Banten,6/28/2021,6/28/2021,444.261,5.777
Bengkulu,Bengkulu,6/28/2021,6/28/2021,58.109,0.739
Gorontalo,Gorontalo,6/28/2021,6/28/2021,57.342,1.089
Jakarta Raya,Jakarta Raya,6/28/2021,6/28/2021,"1,928.361",4.815
Jambi,Jambi,6/28/2021,6/28/2021,130.745,1.532
Jawa Barat,Jawa Barat,6/28/2021,6/28/2021,"1,891.367",16.597
Jawa Tengah,Jawa Tengah,6/28/2021,6/28/2021,"1,724.898",19.582
Jawa Timur,Jawa Timur,6/28/2021,6/28/2021,"2,030.582",46.34
Kalimantan Barat,Kalimantan Barat,6/28/2021,6/28/2021,145.054,1.166
Kalimantan Selatan,Kalimantan Selatan,6/28/2021,6/28/2021,179.619,2.735
Kalimantan Tengah,Kalimantan Tengah,6/28/2021,6/28/2021,141.792,4.574
Kalimantan Timur,Kalimantan Timur,6/28/2021,6/28/2021,219.72,2.31
Kalimantan Utara,Kalimantan Utara,6/28/2021,6/28/2021,28.307,0.3
Lampung,Lampung,6/28/2021,6/28/2021,205.251,2.529
Maluku,Maluku,6/28/2021,6/28/2021,57.263,0.764
Maluku Utara,Maluku Utara,6/28/2021,6/28/2021,31.843,0.447
Nusa Tenggara Barat,Nusa Tenggara Barat,6/28/2021,6/28/2021,180.912,1.285
Nusa Tenggara Timur,Nusa Tenggara Timur,6/28/2021,6/28/2021,169.654,2.842
Papua,Papua,6/28/2021,6/28/2021,123.387,0.89
Papua Barat,Papua Barat,6/28/2021,6/28/2021,41.273,0.375
Riau,Kepulauan Riau,6/28/2021,6/28/2021,122.857,1.429
Riau,Riau,6/28/2021,6/28/2021,320.227,11.809
Sulawesi Barat,Sulawesi Barat,6/28/2021,6/28/2021,55.548,1.14
Sulawesi Selatan,Sulawesi Selatan,6/28/2021,6/28/2021,438.804,9.132
Sulawesi Tengah,Sulawesi Tengah,6/28/2021,6/28/2021,95.166,1.385
Sulawesi Tenggara,Sulawesi Tenggara,6/28/2021,6/28/2021,88.968,1.516
Sulawesi Utara,Sulawesi Utara,6/28/2021,6/28/2021,135.691,2.584
Sumatera Barat,Sumatera Barat,6/28/2021,6/28/2021,151.382,1.659
Sumatera Selatan,Sumatera Selatan,6/28/2021,6/28/2021,322.047,3.246
Sumatera Utara,Sumatera Utara,6/28/2021,6/28/2021,541.2,8.894
Yogyakarta,Yogyakarta,6/28/2021,6/28/2021,391.547,1.727
Aceh,Aceh,6/29/2021,6/29/2021,128.023,1.692
Bali,Bali,6/29/2021,6/29/2021,745.989,1.631
Bangka Belitung,Bangka Belitung,6/29/2021,6/29/2021,72.858,0.422
Banten,Banten,6/29/2021,6/29/2021,445.952,1.691
Bengkulu,Bengkulu,6/29/2021,6/29/2021,58.516,0.407
Gorontalo,Gorontalo,6/29/2021,6/29/2021,58.255,0.913
Jakarta Raya,Jakarta Raya,6/29/2021,6/29/2021,"1,931.349",2.988
Jambi,Jambi,6/29/2021,6/29/2021,132.268,1.523
Jawa Barat,Jawa Barat,6/29/2021,6/29/2021,"1,900.835",9.468
Jawa Tengah,Jawa Tengah,6/29/2021,6/29/2021,"1,737.198",12.3
Jawa Timur,Jawa Timur,6/29/2021,6/29/2021,"2,059.496",28.914
Kalimantan Barat,Kalimantan Barat,6/29/2021,6/29/2021,145.416,0.362
Kalimantan Selatan,Kalimantan Selatan,6/29/2021,6/29/2021,181.19,1.571
Kalimantan Tengah,Kalimantan Tengah,6/29/2021,6/29/2021,143.844,2.052
Kalimantan Timur,Kalimantan Timur,6/29/2021,6/29/2021,220.872,1.152
Kalimantan Utara,Kalimantan Utara,6/29/2021,6/29/2021,28.373,0.066
Lampung,Lampung,6/29/2021,6/29/2021,206.131,0.88
Maluku,Maluku,6/29/2021,6/29/2021,57.728,0.465
Maluku Utara,Maluku Utara,6/29/2021,6/29/2021,32.059,0.216
Nusa Tenggara Barat,Nusa Tenggara Barat,6/29/2021,6/29/2021,181.665,0.753
Nusa Tenggara Timur,Nusa Tenggara Timur,6/29/2021,6/29/2021,170.577,0.923
Papua,Papua,6/29/2021,6/29/2021,123.914,0.527
Papua Barat,Papua Barat,6/29/2021,6/29/2021,41.49,0.217
Riau,Kepulauan Riau,6/29/2021,6/29/2021,123.52,0.663
Riau,Riau,6/29/2021,6/29/2021,328.603,8.376
Sulawesi Barat,Sulawesi Barat,6/29/2021,6/29/2021,56.167,0.619
Sulawesi Selatan,Sulawesi Selatan,6/29/2021,6/29/2021,443.695,4.891
Sulawesi Tengah,Sulawesi Tengah,6/29/2021,6/29/2021,95.792,0.626
Sulawesi Tenggara,Sulawesi Tenggara,6/29/2021,6/29/2021,89.663,0.695
Sulawesi Utara,Sulawesi Utara,6/29/2021,6/29/2021,136.965,1.274
Sumatera Barat,Sumatera Barat,6/29/2021,6/29/2021,152.707,1.325
Sumatera Selatan,Sumatera Selatan,6/29/2021,6/29/2021,323.488,1.441
Sumatera Utara,Sumatera Utara,6/29/2021,6/29/2021,544.698,3.498
Yogyakarta,Yogyakarta,6/29/2021,6/29/2021,392.221,0.674
Aceh,Aceh,6/30/2021,6/30/2021,130.709,2.686
Bali,Bali,6/30/2021,6/30/2021,748.141,2.152
Bangka Belitung,Bangka Belitung,6/30/2021,6/30/2021,73.73,0.872
Banten,Banten,6/30/2021,6/30/2021,452.448,6.496
Bengkulu,Bengkulu,6/30/2021,6/30/2021,59.071,0.555
Gorontalo,Gorontalo,6/30/2021,6/30/2021,59.655,1.4
Jakarta Raya,Jakarta Raya,6/30/2021,6/30/2021,"1,935.857",4.508
Jambi,Jambi,6/30/2021,6/30/2021,133.95,1.682
Jawa Barat,Jawa Barat,6/30/2021,6/30/2021,"1,918.104",17.269
Jawa Tengah,Jawa Tengah,6/30/2021,6/30/2021,"1,763.659",26.461
Jawa Timur,Jawa Timur,6/30/2021,6/30/2021,"2,099.383",39.887
Kalimantan Barat,Kalimantan Barat,6/30/2021,6/30/2021,147.725,2.309
Kalimantan Selatan,Kalimantan Selatan,6/30/2021,6/30/2021,184.714,3.524
Kalimantan Tengah,Kalimantan Tengah,6/30/2021,6/30/2021,148.814,4.97
Kalimantan Timur,Kalimantan Timur,6/30/2021,6/30/2021,223.673,2.801
Kalimantan Utara,Kalimantan Utara,6/30/2021,6/30/2021,28.58,0.207
Lampung,Lampung,6/30/2021,6/30/2021,208.845,2.714
Maluku,Maluku,6/30/2021,6/30/2021,58.348,0.62
Maluku Utara,Maluku Utara,6/30/2021,6/30/2021,32.44,0.381
Nusa Tenggara Barat,Nusa Tenggara Barat,6/30/2021,6/30/2021,182.854,1.189
Nusa Tenggara Timur,Nusa Tenggara Timur,6/30/2021,6/30/2021,174.181,3.604
Papua,Papua,6/30/2021,6/30/2021,124.881,0.967
Papua Barat,Papua Barat,6/30/2021,6/30/2021,42.631,1.141
Riau,Kepulauan Riau,6/30/2021,6/30/2021,124.818,1.298
Riau,Riau,6/30/2021,6/30/2021,340.689,12.086
Sulawesi Barat,Sulawesi Barat,6/30/2021,6/30/2021,56.852,0.685
Sulawesi Selatan,Sulawesi Selatan,6/30/2021,6/30/2021,450.386,6.691
Sulawesi Tengah,Sulawesi Tengah,6/30/2021,6/30/2021,97.013,1.221
Sulawesi Tenggara,Sulawesi Tenggara,6/30/2021,6/30/2021,91.564,1.901
Sulawesi Utara,Sulawesi Utara,6/30/2021,6/30/2021,139.249,2.284
Sumatera Barat,Sumatera Barat,6/30/2021,6/30/2021,154.738,2.031
Sumatera Selatan,Sumatera Selatan,6/30/2021,6/30/2021,326.672,3.184
Sumatera Utara,Sumatera Utara,6/30/2021,6/30/2021,552.202,7.504
Yogyakarta,Yogyakarta,6/30/2021,6/30/2021,393.508,1.287
Aceh,Aceh,7/1/2021,7/1/2021,133.822,3.113
Bali,Bali,7/1/2021,7/1/2021,749.953,1.812
Bangka Belitung,Bangka Belitung,7/1/2021,7/1/2021,74.73,1
Banten,Banten,7/1/2021,7/1/2021,460.13,7.682
Bengkulu,Bengkulu,7/1/2021,7/1/2021,59.945,0.874
Gorontalo,Gorontalo,7/1/2021,7/1/2021,60.928,1.273
Jakarta Raya,Jakarta Raya,7/1/2021,7/1/2021,"1,941.565",5.708
Jambi,Jambi,7/1/2021,7/1/2021,136.564,2.614
Jawa Barat,Jawa Barat,7/1/2021,7/1/2021,"1,939.526",21.422
Jawa Tengah,Jawa Tengah,7/1/2021,7/1/2021,"1,795.755",32.096
Jawa Timur,Jawa Timur,7/1/2021,7/1/2021,"2,137.478",38.095
Kalimantan Barat,Kalimantan Barat,7/1/2021,7/1/2021,150.001,2.276
Kalimantan Selatan,Kalimantan Selatan,7/1/2021,7/1/2021,188.233,3.519
Kalimantan Tengah,Kalimantan Tengah,7/1/2021,7/1/2021,156.445,7.631
Kalimantan Timur,Kalimantan Timur,7/1/2021,7/1/2021,226.565,2.892
Kalimantan Utara,Kalimantan Utara,7/1/2021,7/1/2021,29.025,0.445
Lampung,Lampung,7/1/2021,7/1/2021,212.706,3.861
Maluku,Maluku,7/1/2021,7/1/2021,58.815,0.467
Maluku Utara,Maluku Utara,7/1/2021,7/1/2021,32.887,0.447
Nusa Tenggara Barat,Nusa Tenggara Barat,7/1/2021,7/1/2021,183.9,1.046
Nusa Tenggara Timur,Nusa Tenggara Timur,7/1/2021,7/1/2021,177.364,3.183
Papua,Papua,7/1/2021,7/1/2021,126.195,1.314
Papua Barat,Papua Barat,7/1/2021,7/1/2021,43.714,1.083
Riau,Kepulauan Riau,7/1/2021,7/1/2021,126.231,1.413
Riau,Riau,7/1/2021,7/1/2021,352.947,12.258
Sulawesi Barat,Sulawesi Barat,7/1/2021,7/1/2021,57.541,0.689
Sulawesi Selatan,Sulawesi Selatan,7/1/2021,7/1/2021,456.302,5.916
Sulawesi Tengah,Sulawesi Tengah,7/1/2021,7/1/2021,98.09,1.077
Sulawesi Tenggara,Sulawesi Tenggara,7/1/2021,7/1/2021,94.069,2.505
Sulawesi Utara,Sulawesi Utara,7/1/2021,7/1/2021,140.927,1.678
Sumatera Barat,Sumatera Barat,7/1/2021,7/1/2021,156.339,1.601
Sumatera Selatan,Sumatera Selatan,7/1/2021,7/1/2021,329.711,3.039
Sumatera Utara,Sumatera Utara,7/1/2021,7/1/2021,562.772,10.57
Yogyakarta,Yogyakarta,7/1/2021,7/1/2021,395.265,1.757
Aceh,Aceh,7/2/2021,7/2/2021,137.724,3.902
Bali,Bali,7/2/2021,7/2/2021,751.921,1.968
Bangka Belitung,Bangka Belitung,7/2/2021,7/2/2021,75.135,0.405
Banten,Banten,7/2/2021,7/2/2021,465.643,5.513
Bengkulu,Bengkulu,7/2/2021,7/2/2021,60.388,0.443
Gorontalo,Gorontalo,7/2/2021,7/2/2021,61.756,0.828
Jakarta Raya,Jakarta Raya,7/2/2021,7/2/2021,"1,946.468",4.903
Jambi,Jambi,7/2/2021,7/2/2021,138.005,1.441
Jawa Barat,Jawa Barat,7/2/2021,7/2/2021,"1,951.771",12.245
Jawa Tengah,Jawa Tengah,7/2/2021,7/2/2021,"1,815.231",19.476
Jawa Timur,Jawa Timur,7/2/2021,7/2/2021,"2,161.157",23.679
Kalimantan Barat,Kalimantan Barat,7/2/2021,7/2/2021,151.657,1.656
Kalimantan Selatan,Kalimantan Selatan,7/2/2021,7/2/2021,188.841,0.608
Kalimantan Tengah,Kalimantan Tengah,7/2/2021,7/2/2021,160.94,4.495
Kalimantan Timur,Kalimantan Timur,7/2/2021,7/2/2021,227.888,1.323
Kalimantan Utara,Kalimantan Utara,7/2/2021,7/2/2021,29.495,0.47
Lampung,Lampung,7/2/2021,7/2/2021,215.27,2.564
Maluku,Maluku,7/2/2021,7/2/2021,59.129,0.314
Maluku Utara,Maluku Utara,7/2/2021,7/2/2021,33.233,0.346
Nusa Tenggara Barat,Nusa Tenggara Barat,7/2/2021,7/2/2021,184.438,0.538
Nusa Tenggara Timur,Nusa Tenggara Timur,7/2/2021,7/2/2021,179.958,2.594
Papua,Papua,7/2/2021,7/2/2021,127.01,0.815
Papua Barat,Papua Barat,7/2/2021,7/2/2021,44.937,1.223
Riau,Kepulauan Riau,7/2/2021,7/2/2021,130.007,3.776
Riau,Riau,7/2/2021,7/2/2021,364.271,11.324
Sulawesi Barat,Sulawesi Barat,7/2/2021,7/2/2021,58.175,0.634
Sulawesi Selatan,Sulawesi Selatan,7/2/2021,7/2/2021,459.679,3.377
Sulawesi Tengah,Sulawesi Tengah,7/2/2021,7/2/2021,98.724,0.634
Sulawesi Tenggara,Sulawesi Tenggara,7/2/2021,7/2/2021,95.925,1.856
Sulawesi Utara,Sulawesi Utara,7/2/2021,7/2/2021,142.821,1.894
Sumatera Barat,Sumatera Barat,7/2/2021,7/2/2021,157.379,1.04
Sumatera Selatan,Sumatera Selatan,7/2/2021,7/2/2021,331.96,2.249
Sumatera Utara,Sumatera Utara,7/2/2021,7/2/2021,574.794,12.022
Yogyakarta,Yogyakarta,7/2/2021,7/2/2021,396.182,0.917
Aceh,Aceh,7/3/2021,7/3/2021,140.454,2.73
Bali,Bali,7/3/2021,7/3/2021,753.501,1.58
Bangka Belitung,Bangka Belitung,7/3/2021,7/3/2021,75.737,0.602
Banten,Banten,7/3/2021,7/3/2021,468.565,2.922
Bengkulu,Bengkulu,7/3/2021,7/3/2021,60.829,0.441
Gorontalo,Gorontalo,7/3/2021,7/3/2021,62.112,0.356
Jakarta Raya,Jakarta Raya,7/3/2021,7/3/2021,"1,948.546",2.078
Jambi,Jambi,7/3/2021,7/3/2021,139.947,1.942
Jawa Barat,Jawa Barat,7/3/2021,7/3/2021,"1,960.617",8.846
Jawa Tengah,Jawa Tengah,7/3/2021,7/3/2021,"1,837.056",21.825
Jawa Timur,Jawa Timur,7/3/2021,7/3/2021,"2,188.541",27.384
Kalimantan Barat,Kalimantan Barat,7/3/2021,7/3/2021,152.423,0.766
Kalimantan Selatan,Kalimantan Selatan,7/3/2021,7/3/2021,190.238,1.397
Kalimantan Tengah,Kalimantan Tengah,7/3/2021,7/3/2021,167.647,6.707
Kalimantan Timur,Kalimantan Timur,7/3/2021,7/3/2021,230.315,2.427
Kalimantan Utara,Kalimantan Utara,7/3/2021,7/3/2021,29.864,0.369
Lampung,Lampung,7/3/2021,7/3/2021,217.367,2.097
Maluku,Maluku,7/3/2021,7/3/2021,59.323,0.194
Maluku Utara,Maluku Utara,7/3/2021,7/3/2021,33.73,0.497
Nusa Tenggara Barat,Nusa Tenggara Barat,7/3/2021,7/3/2021,185.343,0.905
Nusa Tenggara Timur,Nusa Tenggara Timur,7/3/2021,7/3/2021,182.702,2.744
Papua,Papua,7/3/2021,7/3/2021,128.004,0.994
Papua Barat,Papua Barat,7/3/2021,7/3/2021,45.86,0.923
Riau,Kepulauan Riau,7/3/2021,7/3/2021,132.627,2.62
Riau,Riau,7/3/2021,7/3/2021,375.186,10.915
Sulawesi Barat,Sulawesi Barat,7/3/2021,7/3/2021,58.427,0.252
Sulawesi Selatan,Sulawesi Selatan,7/3/2021,7/3/2021,464.052,4.373
Sulawesi Tengah,Sulawesi Tengah,7/3/2021,7/3/2021,99.533,0.809
Sulawesi Tenggara,Sulawesi Tenggara,7/3/2021,7/3/2021,96.963,1.038
Sulawesi Utara,Sulawesi Utara,7/3/2021,7/3/2021,143.441,0.62
Sumatera Barat,Sumatera Barat,7/3/2021,7/3/2021,158.481,1.102
Sumatera Selatan,Sumatera Selatan,7/3/2021,7/3/2021,333.025,1.065
Sumatera Utara,Sumatera Utara,7/3/2021,7/3/2021,580.561,5.767
Yogyakarta,Yogyakarta,7/3/2021,7/3/2021,396.804,0.622
Aceh,Aceh,7/4/2021,7/4/2021,141.662,1.208
Bali,Bali,7/4/2021,7/4/2021,753.598,0.097
Bangka Belitung,Bangka Belitung,7/4/2021,7/4/2021,75.738,0.001
Banten,Banten,7/4/2021,7/4/2021,468.754,0.189
Bengkulu,Bengkulu,7/4/2021,7/4/2021,60.83,0.001
Gorontalo,Gorontalo,7/4/2021,7/4/2021,62.202,0.09
Jakarta Raya,Jakarta Raya,7/4/2021,7/4/2021,"1,949.016",0.47
Jambi,Jambi,7/4/2021,7/4/2021,139.958,0.011
Jawa Barat,Jawa Barat,7/4/2021,7/4/2021,"1,960.806",0.189
Jawa Tengah,Jawa Tengah,7/4/2021,7/4/2021,"1,837.44",0.384
Jawa Timur,Jawa Timur,7/4/2021,7/4/2021,"2,191.512",2.971
Kalimantan Barat,Kalimantan Barat,7/4/2021,7/4/2021,152.47,0.047
Kalimantan Selatan,Kalimantan Selatan,7/4/2021,7/4/2021,190.257,0.019
Kalimantan Tengah,Kalimantan Tengah,7/4/2021,7/4/2021,168.09,0.443
Kalimantan Timur,Kalimantan Timur,7/4/2021,7/4/2021,230.346,0.031
Kalimantan Utara,Kalimantan Utara,7/4/2021,7/4/2021,29.877,0.013
Lampung,Lampung,7/4/2021,7/4/2021,217.38,0.013
Maluku,Maluku,7/4/2021,7/4/2021,59.359,0.036
Maluku Utara,Maluku Utara,7/4/2021,7/4/2021,33.75,0.02
Nusa Tenggara Barat,Nusa Tenggara Barat,7/4/2021,7/4/2021,185.453,0.11
Nusa Tenggara Timur,Nusa Tenggara Timur,7/4/2021,7/4/2021,182.816,0.114
Papua,Papua,7/4/2021,7/4/2021,128.119,0.115
Papua Barat,Papua Barat,7/4/2021,7/4/2021,45.945,0.085
Riau,Kepulauan Riau,7/4/2021,7/4/2021,132.752,0.125
Riau,Riau,7/4/2021,7/4/2021,378.832,3.646
Sulawesi Barat,Sulawesi Barat,7/4/2021,7/4/2021,58.457,0.03
Sulawesi Selatan,Sulawesi Selatan,7/4/2021,7/4/2021,464.176,0.124
Sulawesi Tengah,Sulawesi Tengah,7/4/2021,7/4/2021,99.569,0.036
Sulawesi Tenggara,Sulawesi Tenggara,7/4/2021,7/4/2021,97.085,0.122
Sulawesi Utara,Sulawesi Utara,7/4/2021,7/4/2021,143.555,0.114
Sumatera Barat,Sumatera Barat,7/4/2021,7/4/2021,158.593,0.112
Sumatera Selatan,Sumatera Selatan,7/4/2021,7/4/2021,333.05,0.025
Sumatera Utara,Sumatera Utara,7/4/2021,7/4/2021,580.635,0.074
Yogyakarta,Yogyakarta,7/4/2021,7/4/2021,396.804,0
Aceh,Aceh,7/5/2021,7/5/2021,152.578,10.916
Bali,Bali,7/5/2021,7/5/2021,760.073,6.475
Bangka Belitung,Bangka Belitung,7/5/2021,7/5/2021,77.143,1.405
Banten,Banten,7/5/2021,7/5/2021,471.598,2.844
Bengkulu,Bengkulu,7/5/2021,7/5/2021,61.665,0.835
Gorontalo,Gorontalo,7/5/2021,7/5/2021,62.977,0.775
Jakarta Raya,Jakarta Raya,7/5/2021,7/5/2021,"1,952.489",3.473
Jambi,Jambi,7/5/2021,7/5/2021,142.431,2.473
Jawa Barat,Jawa Barat,7/5/2021,7/5/2021,"1,984.994",24.188
Jawa Tengah,Jawa Tengah,7/5/2021,7/5/2021,"1,868.437",30.997
Jawa Timur,Jawa Timur,7/5/2021,7/5/2021,"2,228.541",37.029
Kalimantan Barat,Kalimantan Barat,7/5/2021,7/5/2021,154.328,1.858
Kalimantan Selatan,Kalimantan Selatan,7/5/2021,7/5/2021,192.409,2.152
Kalimantan Tengah,Kalimantan Tengah,7/5/2021,7/5/2021,171.454,3.364
Kalimantan Timur,Kalimantan Timur,7/5/2021,7/5/2021,232.729,2.383
Kalimantan Utara,Kalimantan Utara,7/5/2021,7/5/2021,30.197,0.32
Lampung,Lampung,7/5/2021,7/5/2021,222.715,5.335
Maluku,Maluku,7/5/2021,7/5/2021,59.828,0.469
Maluku Utara,Maluku Utara,7/5/2021,7/5/2021,34.098,0.348
Nusa Tenggara Barat,Nusa Tenggara Barat,7/5/2021,7/5/2021,186.34,0.887
Nusa Tenggara Timur,Nusa Tenggara Timur,7/5/2021,7/5/2021,185.294,2.478
Papua,Papua,7/5/2021,7/5/2021,128.983,0.864
Papua Barat,Papua Barat,7/5/2021,7/5/2021,47.367,1.422
Riau,Kepulauan Riau,7/5/2021,7/5/2021,134.487,1.735
Riau,Riau,7/5/2021,7/5/2021,394.182,15.35
Sulawesi Barat,Sulawesi Barat,7/5/2021,7/5/2021,59.329,0.872
Sulawesi Selatan,Sulawesi Selatan,7/5/2021,7/5/2021,468.73,4.554
Sulawesi Tengah,Sulawesi Tengah,7/5/2021,7/5/2021,100.475,0.906
Sulawesi Tenggara,Sulawesi Tenggara,7/5/2021,7/5/2021,99.434,2.349
Sulawesi Utara,Sulawesi Utara,7/5/2021,7/5/2021,146.119,2.564
Sumatera Barat,Sumatera Barat,7/5/2021,7/5/2021,159.983,1.39
Sumatera Selatan,Sumatera Selatan,7/5/2021,7/5/2021,336.017,2.967
Sumatera Utara,Sumatera Utara,7/5/2021,7/5/2021,596.373,15.738
Yogyakarta,Yogyakarta,7/5/2021,7/5/2021,398.077,1.273
Aceh,Aceh,7/6/2021,7/6/2021,160.613,8.035
Bali,Bali,7/6/2021,7/6/2021,761.707,1.634
Bangka Belitung,Bangka Belitung,7/6/2021,7/6/2021,78.494,1.351
Banten,Banten,7/6/2021,7/6/2021,478.795,7.197
Bengkulu,Bengkulu,7/6/2021,7/6/2021,62.523,0.858
Gorontalo,Gorontalo,7/6/2021,7/6/2021,63.941,0.964
Jakarta Raya,Jakarta Raya,7/6/2021,7/6/2021,"1,955.919",3.43
Jambi,Jambi,7/6/2021,7/6/2021,147.589,5.158
Jawa Barat,Jawa Barat,7/6/2021,7/6/2021,"2,011.063",26.069
Jawa Tengah,Jawa Tengah,7/6/2021,7/6/2021,"1,905.574",37.137
Jawa Timur,Jawa Timur,7/6/2021,7/6/2021,"2,262.213",33.672
Kalimantan Barat,Kalimantan Barat,7/6/2021,7/6/2021,156.39,2.062
Kalimantan Selatan,Kalimantan Selatan,7/6/2021,7/6/2021,193.989,1.58
Kalimantan Tengah,Kalimantan Tengah,7/6/2021,7/6/2021,174.384,2.93
Kalimantan Timur,Kalimantan Timur,7/6/2021,7/6/2021,235.196,2.467
Kalimantan Utara,Kalimantan Utara,7/6/2021,7/6/2021,30.446,0.249
Lampung,Lampung,7/6/2021,7/6/2021,226.895,4.18
Maluku,Maluku,7/6/2021,7/6/2021,60.265,0.437
Maluku Utara,Maluku Utara,7/6/2021,7/6/2021,34.476,0.378
Nusa Tenggara Barat,Nusa Tenggara Barat,7/6/2021,7/6/2021,187.284,0.944
